ID,COD_INT,CATEGORIA,SOTTOCATEGORIA,TIPO,NOME_PRODOTTO,DESCRIZIONE,LISTINO_PREZZI,URL_IMMAGINE,URL_DOC,ATTIVO
,DDS-AI-LITE,Sedute,Sedie,,A.I Lite,La sedia A.I senza braccioli. Colori: MOKA - TERRA - BIANCO - GRIGIO - NERO - PETROLIO - VERDE. Uso interno - esterno.,SI,https://www.dadesign.ch/product-page/a-i-lite,,SI
,DDS-AI-NERO,Sedute,Sedie,,A.I colore nero,Kartell A.I. è una sedia progettata attraverso l'intelligenza artificiale e disegnata da Philippe Starck. La prima al mondo costruita interamente in bioplastica. Stile sofisticato e lineare. Materiali riciclati.,SI,https://www.dadesign.ch/product-page/a-i,,SI
,DDS-AI-GRIGIO,Sedute,Sedie,,A.I. col. grigio,Kartell A.I. è una sedia progettata attraverso l'intelligenza artificiale e disegnata da Philippe Starck. La prima al mondo costruita interamente in bioplastica. Stile sofisticato e lineare. Materiali riciclati.,SI,https://www.dadesign.ch/product-page/copia-di-promo-4-a-i-grigio,,SI
,DDS-AI-BIANCO,Sedute,Sedie,,A.I. colore bianco,Kartell A.I. è una sedia progettata attraverso l'intelligenza artificiale e disegnata da Philippe Starck. La prima al mondo costruita interamente in bioplastica. Stile sofisticato e lineare. Materiali riciclati. Promozione valida fino a esaurimento scorte.,SI,https://www.dadesign.ch/product-page/promo-4-a-i-bianche,,SI
,DDS-AI-CONSOLE,Sedute,Console,,A.I. CONSOLE,Elegante console in tecnopolimero termoplastico riciclato con carica minerale e trattamento soft touch. Dimensioni: 75 x 24 x h. 88cm.,SI,https://www.dadesign.ch/product-page/a-i-console-1,,SI
,DDS-MASTERS-4PZ,Sedute,Sedie,,Masters (Conf. 4 pz),Sedia Masters di Kartell. Confezione da 4 pezzi.,SI,https://www.dadesign.ch/product-page/masters-4-pezzi,,SI
,DDS-KWAITING,Sedute,Poltrone,,K-WAITING DORMEUSE CHENILLE,Poltrona Lounge in morbido tessuto Chenille color Beige. Dimensioni: 153 x 81 x H.70cm | H. seduta 41cm. Prodotto ancora imballato. Promozione valida solo per articoli esposti.,SI,https://www.dadesign.ch/product-page/promo-k-waiting-dormeuse-chenille,,SI
,DDS-SIRGIO,Tavoli,Tavoli,,SIR GIO SQUARE,Tavolo con struttura in tecnopolimero termoplastico trasparente e piano in cristallo laminato. Colore BR bronzo. Dimensioni: 120 x 120 x h. 72cm. Promozione valida solo per l'articolo esposto.,SI,https://www.dadesign.ch/product-page/tavolo-sir-gio-square,,SI
,DDS-GRACE,Illuminazione,Lampade da tavolo,,Grace Lamp,Lampada in resina colore bianco con bulbo rosa. Non adatta per uso esterno. Bulbo Led incluso E14 - 3W - 300 LUMEN - 2700K.,SI,https://www.dadesign.ch/product-page/grace-lamp,,SI
,DDS-GIRAFFE,Illuminazione,Lampade da terra,,Giraffe in Love XS Lamp,"Elegante giraffa con lampadina. Colore nero. Materiale: Polietilene riciclabile. Dimensioni: 60,3 x 31 x H. 101 CM. Peso: 3 KG. MAX 4.5W E14 LED 220V-240V 50HZ.",SI,https://www.dadesign.ch/product-page/copia-di-giraffe-in-love-xs-lamp,,SI
