COD_INT,CATEGORIA,NOME_PRODOTTO,SOTTOCATEGORIA,DESCRIZIONE,LISTINO_PREZZI,URL_IMMAGINE,URL_DOC
DDS-AI-LITE,Sedute,A.I Lite,Sedie,"La sedia A.I senza braccioli. Colori: MOKA - TERRA - BIANCO - GRIGIO - NERO - PETROLIO - VERDE. Uso interno - esterno.",SI,https://www.dadesign.ch/product-page/a-i-lite,
DDS-AI-NERO,Sedute,A.I colore nero,Sedie,"Kartell A.I. è una sedia progettata attraverso l'intelligenza artificiale e disegnata da Philippe Starck. La prima al mondo costruita interamente in bioplastica. Stile sofisticato e lineare. Materiali riciclati.",SI,https://www.dadesign.ch/product-page/a-i,
DDS-AI-GRIGIO,Sedute,A.I. col. grigio,Sedie,"Kartell A.I. è una sedia progettata attraverso l'intelligenza artificiale e disegnata da Philippe Starck. La prima al mondo costruita interamente in bioplastica. Stile sofisticato e lineare. Materiali riciclati.",SI,https://www.dadesign.ch/product-page/copia-di-promo-4-a-i-grigio,
DDS-AI-BIANCO,Sedute,A.I. colore bianco,Sedie,"Kartell A.I. è una sedia progettata attraverso l'intelligenza artificiale e disegnata da Philippe Starck. La prima al mondo costruita interamente in bioplastica. Stile sofisticato e lineare. Materiali riciclati. Promozione valida fino a esaurimento scorte.",SI,https://www.dadesign.ch/product-page/promo-4-a-i-bianche,
DDS-AI-CONSOLE,Sedute,A.I. CONSOLE,Console,"Elegante console in tecnopolimero termoplastico riciclato con carica minerale e trattamento soft touch. Dimensioni: 75 x 24 x h. 88cm.",SI,https://www.dadesign.ch/product-page/a-i-console-1,
DDS-MASTERS-4PZ,Sedute,Masters (Conf. 4 pz),Sedie,"Sedia Masters di Kartell. Confezione da 4 pezzi.",SI,https://www.dadesign.ch/product-page/masters-4-pezzi,
DDS-KWAITING,Sedute,K-WAITING DORMEUSE CHENILLE,Poltrone,"Poltrona Lounge in morbido tessuto Chenille color Beige. Dimensioni: 153 x 81 x H.70cm | H. seduta 41cm. Prodotto ancora imballato. Promozione valida solo per articoli esposti.",SI,https://www.dadesign.ch/product-page/promo-k-waiting-dormeuse-chenille,
DDS-SIRGIO,Tavoli,SIR GIO SQUARE,Tavoli,"Tavolo con struttura in tecnopolimero termoplastico trasparente e piano in cristallo laminato. Colore BR bronzo. Dimensioni: 120 x 120 x h. 72cm. Promozione valida solo per l'articolo esposto.",SI,https://www.dadesign.ch/product-page/tavolo-sir-gio-square,
DDS-GRACE,Illuminazione,Grace Lamp,Lampade da tavolo,"Lampada in resina colore bianco con bulbo rosa. Non adatta per uso esterno. Bulbo Led incluso E14 - 3W - 300 LUMEN - 2700K.",SI,https://www.dadesign.ch/product-page/grace-lamp,
DDS-GIRAFFE,Illuminazione,Giraffe in Love XS Lamp,Lampade da terra,"Elegante giraffa con lampadina. Colore nero. Materiale: Polietilene riciclabile. Dimensioni: 60,3 x 31 x H. 101 CM. Peso: 3 KG. MAX 4.5W E14 LED 220V-240V 50HZ.",SI,https://www.dadesign.ch/product-page/copia-di-giraffe-in-love-xs-lamp,
DDS-KABUKI,Illuminazione,Kabuki Indoor,Lampade da terra,"Lampada da terra dimmerabile in policarbonato 2.0 da materia prima rinnovabile. Dimensioni: ø 50 x h. 166cm | Peso: 6,7 Kg. 220-240V | IP 20 | 19W integrated Led | 2700°K | CRI 80 | 50.000 h. | dimmer 2289lm.",SI,https://www.dadesign.ch/product-page/kabuki-indoor,
DDS-GEENA,Illuminazione,Mini Geen-a battery,Lampade da tavolo,"Lampada senza filo ricaricabile. Adatta per esterni. Materiale: Acciaio verniciato a polvere poliestere. Dimensioni: 20 x h.36,5 cm. CLASS E, IP20, 1.5W LED integrato, 2700°K CRI80, 50.000 h., 200lm.",SI,https://www.dadesign.ch/product-page/mini-geen-a-battery,
DDS-MYLITTLE-CORNER,Illuminazione,My Little Corner,Lampade da tavolo,"Lampada da Tavolo con 3 possibilità di luce, ricaricabile. Materiale: Resina, Vetro. Dimensioni: ø 11,2 x h. 22,8cm.",SI,https://www.dadesign.ch/product-page/my-little-corner,
